WKT,OBJECTID,RouteNumber,RouteSigning,Qualifier,Ramp,DOT_ID,CO,FactorGroup,BeginDescription,EndDescription,HPMSSampleID,BIN,RRCrossing,NHS,RoadwayName,RoadNum,Speed,Oneway,RCSTA,RCStation,GIS_ID,FROM_MEASURE,TO_MEASURE,CountStatsID,CountyFIPS,StationNumber,CCSTA,FunctionalClass,FederalDirection,FullCount,OnewayFlag,CalculationYear,AE_Flag,AADT,DHV,DDHV,SU_AADT,CU_AADT,YearLastAct,AADTLastAct,KFactor,DFactor,Year2LastAct,AADT2LastAct,Year3LastAct,AADT3LastAct,Year4LastAct,AADT4LastAct,ClassCountYear,AvgWeekdayF3_13,AvgTruckPercent,AvgSUPercent,AvgCUPercent,AvgMotorcyclePercent,AvgCarPercent,AvgLightTruckPercent,AvgBusPercent,AvgWeekday_F5_7,AxleFactor,SU_Peak,CU_Peak,ClassGroupYear,SpeedCountYear,SpeedLimit,AvgSpeed,FiftiethPercentileSpeed,EightyFifthPercentileSpeed,PercentileExceeding55,PercentileExceeding65,AvgKFactor,AvgDFactor,DD_ID,TruckAADT,SymbolizedTruckPercentageAADT,AE_Truck,TruckPercentSourceFieldName,DOT_RegionName,DOT_RegionNumber,DOT_CountyNumber,MorningHighestValue,AfternoonHighestValue,EveningHighestValue,RCSTAYearDirection,SHAPE_Length,,
"(-73.8964340441837 41.6955950384728,-73.895596008973 41.6953459612703,-73.8949850597836 41.6952120090521,-73.894684005533 41.6951359772236,-73.8946260475009 41.6951169545719,-73.8943829495277 41.6950320239419,-73.8941089693649 41.69489797522,-73.89391504195 41.6947839721949,-73.8934230331777 41.6944559767335,-73.8928859973186 41.6940699891335,-73.8928254357149 41.6940190720916)",130113,983W, ,1, ,100845,1,30,ACC RAMP AT JCT FAIRMONT AVE,RT 55 END RT 983W/BEFORE BUR,6938021,1070120, ,Y,MAIN ST, ,55,Y,820915,820915,100845011,0,0.22,39256528,27,915,,14,0,Y,Y,2019,F,3238,268,268,121,3,2018,3250,8,100,2015,3142,2014,2904,2009,2634,2018,18,4,4,0,0,82,14,1,3,1,0,0,2019,2018,35,36,37,42,0,0,13.07251072,59.18663025,0,124,4,Actual,,,,,240,200,274,"820915,  2019, CT",354.0563779,,
"(-73.8964340441837 41.6955950384728,-73.895596008973 41.6953459612703,-73.8949850597836 41.6952120090521,-73.894684005533 41.6951359772236,-73.8946260475009 41.6951169545719,-73.8943829495277 41.6950320239419,-73.8941089693649 41.69489797522,-73.89391504195 41.6947839721949,-73.8934230331777 41.6944559767335,-73.8928859973186 41.6940699891335,-73.8928254357149 41.6940190720916)",130114,983W, ,1, ,100845,1,30,ACC RAMP AT JCT FAIRMONT AVE,RT 55 END RT 983W/BEFORE BUR,6938021,1070120, ,Y,MAIN ST, ,55,Y,820915,820915,100845011,0,0.22,39237271,27,915,,14,3,,Y,2019,F,3238,,,121,3,2018,3250,,,,,,,,,2018,18,4,4,0,0,82,14,1,3,1,0,0,2019,2018,35,36,37,42,0,0,,,1,124,4,Actual,,,,,240,200,274,"820915,  2019, EB",354.0563779,,
"(-73.9059569817056 41.6969410368919,-73.9057160186967 41.6968919964109,-73.9055730204205 41.6968629832295)",132754, ,5,1, ,183583,1,30,POUGHKEEPSIE CL,SOUTH GRAND AVE, , , , ,MAIN ST,CR114,55, ,828073,828073,183583011,0,0.02,39171785,27,8073,,17,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,2,,4,Estimated,,,,,,,,,33.1069684,,
"(-73.9059569817056 41.6969410368919,-73.9057160186967 41.6968919964109,-73.9055730204205 41.6968629832295)",132755, ,5,1, ,183583,1,30,POUGHKEEPSIE CL,SOUTH GRAND AVE, , , , ,MAIN ST,CR114,55, ,828073,828073,183583011,0,0.02,39246440,27,8073,,17,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,,4,Estimated,,,,,,,,,33.1069684,,
"(-73.9059569817056 41.6969410368919,-73.9057160186967 41.6968919964109,-73.9055730204205 41.6968629832295)",132756, ,5,1, ,183583,1,30,POUGHKEEPSIE CL,SOUTH GRAND AVE, , , , ,MAIN ST,CR114,55, ,828073,828073,183583011,0,0.02,39211180,27,8073,,17,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,1,,4,Estimated,,,,,,,,,33.1069684,,
"(-73.9014404211084 41.6961504818423,-73.901393022013 41.6961449631864,-73.8991140540853 41.6959110389557,-73.8989130176149 41.6958890272958,-73.8975980605362 41.6957489714779,-73.8967339504775 41.6956470061389)",133129, ,5,1, ,183583,1,30,RAYMOND AVE,TAFT AVE, , , , ,MAIN ST,CR114,30, ,828553,828553,183583011,0.24,0.49,39111938,27,8553,,17,7,,,2019,A,6424,,,115,6,2019,6424,,,,,,,,,2015,12,2,2,0,0,88,10,0,1,1,0,0,2019,2015,30,26,28,34,0,0,,,2,121,2,Actual,,,,,389,453,622,"828553,  2019, WB",395.6498717,,
"(-73.9014404211084 41.6961504818423,-73.901393022013 41.6961449631864,-73.8991140540853 41.6959110389557,-73.8989130176149 41.6958890272958,-73.8975980605362 41.6957489714779,-73.8967339504775 41.6956470061389)",133130, ,5,1, ,183583,1,30,RAYMOND AVE,TAFT AVE, , , , ,MAIN ST,CR114,30, ,828553,828553,183583011,0.24,0.49,39160460,27,8553,,17,0,Y,,2019,A,12591,1035,566,269,15,2019,12591,8,55,2015,10279,2014,10586,2008,12964,2015,12,2,2,0,0,87,10,0,2,1,0,0,2019,2015,30,27,28,34,0,0,13.07251072,59.18663025,0,284,2,Actual,,,,,700,1025,1135,"828553,  2019, CT",395.6498717,,
"(-73.9014404211084 41.6961504818423,-73.901393022013 41.6961449631864,-73.8991140540853 41.6959110389557,-73.8989130176149 41.6958890272958,-73.8975980605362 41.6957489714779,-73.8967339504775 41.6956470061389)",133131, ,5,1, ,183583,1,30,RAYMOND AVE,TAFT AVE, , , , ,MAIN ST,CR114,30, ,828553,828553,183583011,0.24,0.49,39144227,27,8553,,17,3,,,2019,A,6167,,,154,9,2019,6167,,,,,,,,,2015,13,3,2,0,0,87,11,1,2,1,0,0,2019,2015,30,27,28,34,0,0,,,1,163,3,Actual,,,,,329,574,514,"828553,  2019, EB",395.6498717,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133892, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39238275,27,8679,,17,0,Y,,2019,A,11268,870,490,260,7,2019,11268,8,56,2016,11403,2015,11005,2014,10808,2019,12,2,2,0,0,88,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,13.07251072,59.18663025,0,267,2,Actual,,,,,552,668,701,"828679,  2019, CT",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133893, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39148760,27,8679,,17,7,,,2019,A,4969,,,119,1,2019,4969,,,,,,,,,2019,12,2,2,0,1,87,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,,,2,120,2,Actual,,,,,301,350,401,"828679,  2019, WB",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133894, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39149566,27,8679,,17,3,,,2019,A,6299,,,141,6,2019,6299,,,,,,,,,2019,12,2,2,0,0,88,9,0,2,1,0,0,2019,2019,30,17,18,25,0,0,,,1,147,2,Actual,,,,,328,464,516,"828679,  2019, EB",273.5890486,828679,2270.353425
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133895, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39148760,27,8679,,17,7,,,2019,A,4969,,,119,1,2019,4969,,,,,,,,,2019,12,2,2,0,1,87,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,,,2,120,2,Actual,,,,,269,298,331,"828679,  2019, WB",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133896, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39149566,27,8679,,17,3,,,2019,A,6299,,,141,6,2019,6299,,,,,,,,,2019,12,2,2,0,0,88,9,0,2,1,0,0,2019,2019,30,17,18,25,0,0,,,1,147,2,Actual,,,,,367,457,493,"828679,  2019, EB",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133897, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39238275,27,8679,,17,0,Y,,2019,A,11268,870,490,260,7,2019,11268,8,56,2016,11403,2015,11005,2014,10808,2019,12,2,2,0,0,88,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,13.07251072,59.18663025,0,267,2,Actual,,,,,651,780,876,"828679,  2019, CT",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133898, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39149566,27,8679,,17,3,,,2019,A,6299,,,141,6,2019,6299,,,,,,,,,2019,12,2,2,0,0,88,9,0,2,1,0,0,2019,2019,30,17,18,25,0,0,,,1,147,2,Actual,,,,,283,373,379,"828679,  2019, EB",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133899, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39148760,27,8679,,17,7,,,2019,A,4969,,,119,1,2019,4969,,,,,,,,,2019,12,2,2,0,1,87,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,,,2,120,2,Actual,,,,,293,323,387,"828679,  2019, WB",273.5890486,,
"(-73.9116849403467 41.6981337524916,-73.9113970564861 41.698049037117,-73.911162057842 41.6979950206571,-73.9097269993241 41.697703999709,-73.9085233467898 41.6974628382799)",133900, , ,1, ,187066,1,30,CHURCH ST,WORRALL AVE, , , , ,MAIN ST, ,30, ,828679,828679,187066011,1.63,1.8,39238275,27,8679,,17,0,Y,,2019,A,11268,870,490,260,7,2019,11268,8,56,2016,11403,2015,11005,2014,10808,2019,12,2,2,0,0,88,10,0,2,1,0,0,2019,2019,30,17,18,25,0,0,13.07251072,59.18663025,0,267,2,Actual,,,,,622,814,917,"828679,  2019, CT",273.5890486,,
"(-73.9085233467898 41.6974628382799,-73.9084840078992 41.6974549564203,-73.9072489902562 41.6972039939934,-73.9071850366677 41.6971909562145,-73.9059569817056 41.6969410368919)",134615, , ,1, ,187066,1,30,WORRALL AVE,POUGHKEEPSIE CL, , , , ,MAIN ST, ,30, ,828703,828703,187066011,1.8,1.94,39206732,27,8703,,17,3,,,2019,A,6746,,,192,33,2019,6746,,,,,,,,,2019,13,3,3,0,1,87,9,0,3,1,0,0,2019,2019,30,19,22,28,0,0,,,1,225,3,Actual,,,,,398,527,528,"828703,  2019, EB",221.2860258,,
"(-73.9085233467898 41.6974628382799,-73.9084840078992 41.6974549564203,-73.9072489902562 41.6972039939934,-73.9071850366677 41.6971909562145,-73.9059569817056 41.6969410368919)",134616, , ,1, ,187066,1,30,WORRALL AVE,POUGHKEEPSIE CL, , , , ,MAIN ST, ,30, ,828703,828703,187066011,1.8,1.94,39236676,27,8703,,17,7,,,2019,A,6156,,,185,5,2019,6156,,,,,,,,,2019,10,3,3,0,0,89,7,0,3,1,0,0,2019,2019,30,18,21,27,0,0,,,2,190,3,Actual,,,,,346,471,532,"828703,  2019, WB",221.2860258,,
"(-73.9085233467898 41.6974628382799,-73.9084840078992 41.6974549564203,-73.9072489902562 41.6972039939934,-73.9071850366677 41.6971909562145,-73.9059569817056 41.6969410368919)",134617, , ,1, ,187066,1,30,WORRALL AVE,POUGHKEEPSIE CL, , , , ,MAIN ST, ,30, ,828703,828703,187066011,1.8,1.94,39229714,27,8703,,17,0,Y,,2019,A,12902,1006,505,378,37,2019,12902,8,50,2016,12133,2015,11744,2014,11730,2019,12,3,3,0,0,88,8,0,3,1,0,0,2019,2019,30,19,22,28,0,0,13.07251072,59.18663025,0,415,3,Actual,,,,,740,998,1060,"828703,  2019, CT",221.2860258,,
"(-73.9055730204205 41.6968629832295,-73.9043650330468 41.6966209840089,-73.9041400043311 41.696574974376,-73.9033280190547 41.6964169920149,-73.9031579496956 41.6963899692096,-73.9028110122988 41.6963400011281,-73.9016079491769 41.6961699855101,-73.9014404211084 41.6961504818423)",135036, ,5,1, ,183583,1,30,SOUTH GRAND AVE,RAYMOND AVE, , , , ,MAIN ST,CR114,30, ,828889,828889,183583011,0.02,0.24,39245189,27,8889,,17,0,Y,,2019,A,12434,951,505,294,16,2019,12434,8,53,2015,10016,2012,11003,2006,13531,2015,14,2,2,0,1,86,11,0,2,1,0,0,2019,2015,30,23,26,31,0,0,13.07251072,59.18663025,0,310,2,Actual,,,,,717,1002,955,"828889,  2019, CT",353.1363235,,
"(-73.9055730204205 41.6968629832295,-73.9043650330468 41.6966209840089,-73.9041400043311 41.696574974376,-73.9033280190547 41.6964169920149,-73.9031579496956 41.6963899692096,-73.9028110122988 41.6963400011281,-73.9016079491769 41.6961699855101,-73.9014404211084 41.6961504818423)",135037, ,5,1, ,183583,1,30,SOUTH GRAND AVE,RAYMOND AVE, , , , ,MAIN ST,CR114,30, ,828889,828889,183583011,0.02,0.24,39148008,27,8889,,17,3,,,2019,A,6417,,,166,15,2019,6417,,,,,,,,,2015,13,3,3,0,1,86,11,0,2,1,0,0,2019,2015,30,23,26,31,0,0,,,1,181,3,Actual,,,,,372,532,493,"828889,  2019, EB",353.1363235,,
"(-73.9055730204205 41.6968629832295,-73.9043650330468 41.6966209840089,-73.9041400043311 41.696574974376,-73.9033280190547 41.6964169920149,-73.9031579496956 41.6963899692096,-73.9028110122988 41.6963400011281,-73.9016079491769 41.6961699855101,-73.9014404211084 41.6961504818423)",135038, ,5,1, ,183583,1,30,SOUTH GRAND AVE,RAYMOND AVE, , , , ,MAIN ST,CR114,30, ,828889,828889,183583011,0.02,0.24,39127244,27,8889,,17,7,,,2019,A,6017,,,125,0,2019,6017,,,,,,,,,2015,14,2,2,0,1,85,12,0,2,1,0,0,2019,2015,30,24,26,31,0,0,,,2,125,2,Actual,,,,,355,470,485,"828889,  2019, WB",353.1363235,,
"(-73.9039679509056 40.9346389775278,-73.904027048057 40.9347430424237,-73.9040349929377 40.934786987415,-73.9040300289844 40.9348429706416,-73.904009966767 40.9348709753042,-73.9039820112711 40.9348950314448,-73.9039540546013 40.9349119711647,-73.9039280104117 40.9349210019267,-73.9038790388867 40.9349229685574,-73.9037749720755 40.934894954843,-73.9034860208 40.9347769935297,-73.9034199539447 40.934764024091,-73.9032700454905 40.9347929555436,-73.9032180286971 40.9347779576901,-73.9031410595702 40.9347849724548,-73.902964964956 40.9348099610672,-73.9028799699556 40.9348210430201,-73.9026650165871 40.9348470126192,-73.9026169739133 40.9348789845407,-73.902410052098 40.9348789966856,-73.9022700030793 40.9348719882771,-73.9020170145186 40.9348420145312,-73.9015290572892 40.9347340437024,-73.9012680436378 40.9346579604468,-73.9010060508077 40.9345979917735,-73.9001000336242 40.9344509877506,-73.8997415650014 40.9343951538695)",147661, , ,1, ,209355,1,30,CITY PIER,RIVERDALE AVE, , , ,Y,MAIN ST, ,0, ,871166,871166,209355011,0,0.25,39242109,119,1166,,14,0,Y,,2019,A,3685,259,133,142,29,2019,3685,7,51,2008,4559,2005,3876,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,171,5,Estimated,,,,,226,249,284,"871166,  2019, CT",402.3368346,,
"(-73.9039679509056 40.9346389775278,-73.904027048057 40.9347430424237,-73.9040349929377 40.934786987415,-73.9040300289844 40.9348429706416,-73.904009966767 40.9348709753042,-73.9039820112711 40.9348950314448,-73.9039540546013 40.9349119711647,-73.9039280104117 40.9349210019267,-73.9038790388867 40.9349229685574,-73.9037749720755 40.934894954843,-73.9034860208 40.9347769935297,-73.9034199539447 40.934764024091,-73.9032700454905 40.9347929555436,-73.9032180286971 40.9347779576901,-73.9031410595702 40.9347849724548,-73.902964964956 40.9348099610672,-73.9028799699556 40.9348210430201,-73.9026650165871 40.9348470126192,-73.9026169739133 40.9348789845407,-73.902410052098 40.9348789966856,-73.9022700030793 40.9348719882771,-73.9020170145186 40.9348420145312,-73.9015290572892 40.9347340437024,-73.9012680436378 40.9346579604468,-73.9010060508077 40.9345979917735,-73.9001000336242 40.9344509877506,-73.8997415650014 40.9343951538695)",147662, , ,1, ,209355,1,30,CITY PIER,RIVERDALE AVE, , , ,Y,MAIN ST, ,0, ,871166,871166,209355011,0,0.25,39103765,119,1166,,14,3,,,2019,A,1877,,,72,15,2019,1877,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,1,87,5,Estimated,,,,,114,130,144,"871166,  2019, EB",402.3368346,,
"(-73.9039679509056 40.9346389775278,-73.904027048057 40.9347430424237,-73.9040349929377 40.934786987415,-73.9040300289844 40.9348429706416,-73.904009966767 40.9348709753042,-73.9039820112711 40.9348950314448,-73.9039540546013 40.9349119711647,-73.9039280104117 40.9349210019267,-73.9038790388867 40.9349229685574,-73.9037749720755 40.934894954843,-73.9034860208 40.9347769935297,-73.9034199539447 40.934764024091,-73.9032700454905 40.9347929555436,-73.9032180286971 40.9347779576901,-73.9031410595702 40.9347849724548,-73.902964964956 40.9348099610672,-73.9028799699556 40.9348210430201,-73.9026650165871 40.9348470126192,-73.9026169739133 40.9348789845407,-73.902410052098 40.9348789966856,-73.9022700030793 40.9348719882771,-73.9020170145186 40.9348420145312,-73.9015290572892 40.9347340437024,-73.9012680436378 40.9346579604468,-73.9010060508077 40.9345979917735,-73.9001000336242 40.9344509877506,-73.8997415650014 40.9343951538695)",147663, , ,1, ,209355,1,30,CITY PIER,RIVERDALE AVE, , , ,Y,MAIN ST, ,0, ,871166,871166,209355011,0,0.25,39198528,119,1166,,14,7,,,2019,A,1808,,,70,14,2019,1808,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,2,84,5,Estimated,,,,,112,119,146,"871166,  2019, WB",402.3368346,,